1
12
-8627099261/45956692704,221092513/45956692704
-2832930397/15318897568,846309677/91913385408
-206848689295/1362130433664,297846355/2211250704
-4385/51168,9289/51168
-199641894749/1892049778944,293760738617/946024889472
-118423/2251392,13081/25584
-5626246721/38689199328,711678127/1248038688
-7/48,55/96
-473847935/3137154852,14400978659/25097238816
-29407433/140111868,685058741/1120894944
-2347939/8410740,40082623/67285920
-1336555/5033652,2183167/40269216
24
-65/246,217/3936 -2265/8528,64237/1125696
-8627099261/45956692704,221092513/45956692704 -1336555/5033652,2183167/40269216
-5413194263/28722932940,62457438533/229783463520 -1771/6396,25873/51168
-2832930397/15318897568,846309677/91913385408 -1713289452061/8164972403744,1541257657301/3061864651404
-4385/51168,9289/51168 -7/48,55/96
-1063364391/6702017686,10006642793/91913385408 -684079483/3829724392,1450350419/2872293294
-1336555/5033652,2183167/40269216 -2347939/8410740,40082623/67285920
-5690232605/53616141488,28327309025/91913385408 -474396734573/4082486201872,388926331340/765466162851
-1309/6396,20653/51168 -1771/6396,25873/51168
-2832930397/15318897568,846309677/91913385408 -118423/2251392,13081/25584
-8627099261/45956692704,221092513/45956692704 -2832930397/15318897568,846309677/91913385408
-4919736607/22978346352,990940933/45956692704 -1063364391/6702017686,10006642793/91913385408
-2265/8528,64237/1125696 -5690232605/53616141488,28327309025/91913385408
-4385/51168,9289/51168 -2576981/9536436,2041987/8476832
-1336555/5033652,2183167/40269216 -4385/51168,9289/51168
-1771/6396,25873/51168 -29407433/140111868,685058741/1120894944
-2576981/9536436,2041987/8476832 -5413194263/28722932940,62457438533/229783463520
-118423/2251392,13081/25584 -29407433/140111868,685058741/1120894944
-1309/6396,20653/51168 -6557/51168,23425/51168
-6557/51168,23425/51168 -1771/6396,25873/51168
-1713289452061/8164972403744,1541257657301/3061864651404 -118423/2251392,13081/25584
-1771/6396,25873/51168 -7/48,55/96
-7/48,55/96 -2347939/8410740,40082623/67285920
-2347939/8410740,40082623/67285920 -29407433/140111868,685058741/1120894944
