1
8
-199/39626,5/39626
-624263/353939432,2872369/44242429
-3137/3580586,116603/1790293
24559275/973833542,2687106248/2434583855
-53616073407/243961926925,277767857856/243961926925
-53241217377/227390928115,47186478618/45478185623
-63601/198130,60466/59439
-411311/1783170,6137/534951
19
-6680483/52504450,8899311/52504450 -33753327/116995765,214696389/327588142
-411311/1783170,6137/534951 -63601/198130,60466/59439
-199/39626,5/39626 -411311/1783170,6137/534951
0,1/10 0,1
-3137/3580586,116603/1790293 24559275/973833542,2687106248/2434583855
-199/39626,5/39626 0,1/10
-7951/92930,3325/37172 1903/185860,163907/148688
-33753327/116995765,214696389/327588142 -53616073407/243961926925,277767857856/243961926925
-3137/3580586,116603/1790293 -7951/92930,3325/37172
-411311/1783170,6137/534951 -3137/3580586,116603/1790293
-67175/973833542,236774473/2434583855 -560815117/2322677990,91691539/696803397
-7951/92930,3325/37172 -67175/973833542,236774473/2434583855
-560815117/2322677990,91691539/696803397 -6680483/52504450,8899311/52504450
9/398,1 -63601/198130,60466/59439
0,1 9/398,1
89793/3580586,1965910/1790293 1903/185860,163907/148688
-63601/198130,60466/59439 89793/3580586,1965910/1790293
24559275/973833542,2687106248/2434583855 -53616073407/243961926925,277767857856/243961926925
1903/185860,163907/148688 24559275/973833542,2687106248/2434583855
