1
10
269/632,9/632
5/8,1/8
204677/248040,4309/9646
313209/434282,112045/217141
1307734929/2652094622,2764197647/15912567732
16039/29402,24495/58804
17155/33306,9395/22204
63/122,105/244
24/61,221/488
1/3,1/8
21
5/8,1/8 204677/248040,4309/9646
269/632,9/632 9728/20679,323869/4714812
84487/200176,927/50044 38/53,27/53
109/262,27/1048 38/53,27/53
26280/65039,104379/2601560 313209/434282,112045/217141
269/632,9/632 5/8,1/8
84487/200176,927/50044 2479/5734,1797/80276
109/262,27/1048 271/610,9/244
26280/65039,104379/2601560 9728/20679,323869/4714812
9728/20679,323869/4714812 16039/29402,24495/58804
271/610,9/244 63/122,105/244
2479/5734,1797/80276 489/976,1691/3904
1/3,1/8 24/61,221/488
1/3,1/8 5/8,1/8
269/632,9/632 1/3,1/8
489/976,1691/3904 14018/35685,8555/19032
63/122,105/244 24/61,221/488
16039/29402,24495/58804 14018/35685,8555/19032
349/424,47/106 38/53,27/53
204677/248040,4309/9646 313209/434282,112045/217141
204677/248040,4309/9646 38/53,27/53
