1
6
-8/53,78/53
-49/212,385/212
7/212,475/212
-33/106,229/106
-47/106,413/212
-77/212,85/53
18
-369/1060,2127/1060 -113/318,443/212
-77/212,85/53 -47/106,413/212
-8/53,78/53 -49/212,385/212
-63/212,725/424 -87/212,1697/848
-8/53,78/53 -14/53,1495/848
-8/53,78/53 -47/106,413/212
-77/212,85/53 7/212,475/212
-47/106,413/212 -33/106,229/106
-8/53,78/53 -77/212,85/53
-49/212,385/212 -47/106,413/212
-21/212,215/106 -33/106,229/106
-573/1484,1263/742 -163/742,1311/742
-47/106,413/212 7/212,475/212
-573/1484,1263/742 -63/212,725/424
-14/53,1495/848 -163/742,1311/742
-113/318,443/212 7/212,475/212
-87/212,1697/848 -369/1060,2127/1060
-33/106,229/106 7/212,475/212
