155
7490606/5386875 -5548417/5386875
44435009/30525625 -96840539/91576875
2616361/1795625 -5569981/5386875
453428321/310643125 -923815766/931929375
2621752/1795625 -21204493/21547500
81696937/55664375 -164788852/166993125
39443693/26723125 -82985753/80169375
2706277/1795625 -10783859/10773750
167021977/109533125 -357082567/328599375
80176193/52073125 -162305753/156219375
5555879/3591250 -1006280803/991185000
2355659/1519375 -33170573/31906875
39330293/25138750 -41608114/37708125
26911802287/17185926875 -55617628702/51557780625
754597821/481227500 -375598504/360920625
724082639/461475625 -1416418394/1384426875
4452371069/2831700625 -9301469924/8495101875
2827177/1795625 -4993642/5386875
50908361/32321250 -5967992/5386875
3970882631/2519261875 -363006262/328599375
2312611141/1467025625 -4863966736/4401076875
3096902161/1962618125 -6530148031/5887854375
11380233/7182500 -5827117/5386875
54306368/34116875 -109896928/102350625
68886773/43095000 -11231609/10773750
20765001/12983750 -46171171/38951250
8616211/5386875 -5699152/5386875
123588811/77211875 -246474556/231635625
221179/138125 -428734/414375
411884661/256774375 -1847326687/1540646250
400718583/249591875 -792785068/748775625
2885452/1795625 -23637793/21547500
2894517/1795625 -6051907/5386875
144532/89375 -294472/268125
18781435651/11605124375 -38026814821/34815373125
46521977/28730000 -22490173/21547500
9953323/6126250 -19506233/18378750
312464214/192131875 -607252094/576395625
2923627/1795625 -39378019/37708125
119874077/73620625 -245754167/220861875
1808837159/1107900625 -3531148814/3323701875
13094257/8011250 -24359947/24033750
7718511/4696250 -8007878/7044375
398612891/242271250 -824812861/726813750
1639729396949/996279188125 -3230313206654/2988837564375
957717094/581644375 -1887649574/1744933125
216071521/131080625 -447831091/393241875
3415964/2071875 -1781698/2071875
92158387/55664375 -179806177/166993125
306227691/184949375 -607321786/554848125
3440220089/2077538125 -7158694219/6232614375
80297479/48481875 -14241226/16160625
6925844/4175625 -14247557/16702500
2981877/1795625 -113100720851/98865316875
8719527/5248750 -13901117/15746250
53565542052/32241233125 -83841671642/96723699375
141241663/84946875 -74747666/84946875
119597746337/71894795625 -21115147778/23964931875
3871177/2326875 -58062206/67479375
3018257799/1810266250 -3015974752/2715399375
1059511/633750 -676627/633750
2243327162/1341820625 -3512163577/4025461875
294429266/176109375 -153653287/176109375
87982699/52625625 -45914968/52625625
14335231/8574375 -4987403/5716250
246002237768/147122473125 -128635829401/147122473125
237195508/141854375 -372139243/425563125
229335269/137094375 -119807708/137094375
812588654/485169375 -435348778/485169375
2037441629/1215638125 -3895708184/3646914375
1620828/966875 -2638963/2900625
67894268253/40446453125 -136685798638/121339359375
7194649/4281875 -13653979/12845625
667788742/396833125 -1590355007/1190499375
1257463307/746980000 -399765859/280117500
93784012/55664375 -711096583/667972500
20772156/12293125 -37652801/36879375
51610484/30525625 -94249889/91576875
82048319/48481875 -17298436/16160625
33440172/19751875 -62110787/59255625
39535356/23343125 -204016877/140058750
3977418/2348125 -7433978/7044375
3617749303/2134998125 -13585300751/12809988750
179081/105625 -677077/633750
270997528/159810625 -513404663/479431875
5155713/3038750 -19662971/18232500
14984474043/8814723125 -58479754331/52888338750
516677713/303460625 -1100841923/910381875
79493727/46686250 -150114317/140058750
593745813/348351250 -607426324/522526875
8715023/5110625 -16081933/15331875
1835719498/1075579375 -3749903408/3226738125
21454564/12569375 -43873819/37708125
