183
-39940573/60084375 95958661/60084375
-766325/1222572 2396421/1630096
-58492/96135 142871/96135
-278565238/463274565 2723950871/1853098260
-34684/58905 28306/19635
-6635200/11877237 5617879/3959079
-51490492/93731625 44878723/31243875
-6864/12665 56299/37995
-9659561860/17826507207 8529474829/5942169069
-17318342125525/32574618355929 47868088710229/32574618355929
-352/663 967/663
-214500/404311 1784933/1212933
-14560175/27568203 364595227/248113827
-143/272 449/306
-27914257/53222325 860279311/585445575
-36493600/69618621 101135821/69618621
-66352/126735 193087/126735
-1716/3281 14419/9843
-302232455/584101011 9441043861/6425111121
-523952/1012775 4546117/3038325
-1244100/2405891 10535273/7217673
-11440/22151 290879/199359
-42416/82875 2063771/1408875
-41470000/81314043 122784043/81314043
-3958829/7790250 778362421/529737000
-1219027/2403375 24719477/16823625
-44686598075/88240598004 1555850460323/1058887176048
-2288/4539 6827/4539
-29348/59007 84353/59007
-11440/23307 34747/23307
-1658800/3398691 5057491/3398691
-2794/5811 8224/5811
-3588/7463 31957/22389
-4953/10312 5518/3867
-930796/1937949 2766016/1937949
-1592/3315 4736/3315
-1651/3516 11213/7911
-14560175/31039671 45599846/31039671
-16166162344/34482939621 49247542054/34482939621
-6163732/13147875 106226686/74504625
-7957814671/16976778000 859479799/606313500
-301245/642668 682831/482001
-1138892/2569125 3654344/2569125
-24765/57131 237433/171393
-23343020/54118701 25631132/18039567
-11627/27183 74449/54366
-94302260/220945923 418392719/294594564
-20083/47073 584321/423657
-6469823/15166125 7185488/5055375
-1352/3171 4523/3171
-702299/1647300 587117/411825
-45863/107601 153145/107601
-33743107/79180764 28136995/19795191
-74304412/174383025 247648009/174383025
-8255/19389 27644/19389
-839768443/1972756500 10950984379/7891026000
-20438423/48067500 20051684/12016875
-15476017/36415275 50763619/36415275
-363006059/854666925 1186343413/854666925
-507/1195 4937/3585
-4787900/11339499 4976808/3779833
-8571172/20304375 115297591/81217500
-100415/238017 338432/238017
-173420/413661 587081/413661
-783237/1872193 7705211/5616579
-26333450/64178067 4574768/3377793
-1196975/2935476 8998771/6604821
-153147563803/379494484575 27478573516/19973393925
-28782838981/71490583140 24641973337/17872645785
-1196975/3015957 4212932/3015957
-920750/2355249 34654864/25907739
-261079/668440 1013074/751995
-389713/1004445 12781863/9263215
-39208/101265 43557/33755
-398489/1030455 1772429/1373940
-1987814309/5143546605 2496091708693/1933973523480
-98179483/254757750 2631262373/2038062000
-206375/536596 1620091/1207341
-431288/1122915 1495391/1122915
-39208/102265 1234049/920385
-193572408328/505084370865 678213410936/505084370865
-797511832/2083999315 126629802724/93779969175
-925877771/2424588960 732087862/530378835
-261079/684267 945346/684267
-39208/103065 142273/103065
-83284201/222795795 589446119/445591590
-22713873/61212835 244208833/183638505
-877028/2403375 3393721/2403375
-582407/1618383 46670159/35604426
-66712665573593/185411855813835 251875412644636/185411855813835
-1081613/3009255 4090868/3009255
-29924375/83354061 113278436/83354061
-655716100/1826708541 772831872/608902847
-783237/2210017 8718683/6630051
-86415776224/245268801375 319696934768/245268801375
-1387091750/3938440701 5136383576/3938440701
-2552/7257 9461/7257
-28263625/80586564 237847019/181319769
-33642580325969/96305839105125 127022462642108/96305839105125
-1352/3923 46123/35307
-4098225625/11899550499 15997776124/11899550499
-20367289/60084375 82460348/60084375
-6708715/20021148 33403579/26694864
-5408065/16279557 21687622/16279557
-2017588/6107985 2540392/2035995
-327858050/995443023 14064524728/10949873253
-1758971/5415605 20488274/16246815
-1698351801525/5235493705286 9900086401424/7853240557929
-163929025/506842484 1468253639/1140395589
-28383025/88277631 225580487/176555262
-12448937749/38859504970 73233623228/58289257455
-3470025/10889629 41922287/32668887
-1008794/3172611 44482264/34898721
-196040/618843 814883/618843
-52179/165464 79442/62049
-10040891228123275/31980932315080539 41331021766272964/31980932315080539
-3391635/10889629 41713247/32668887
-11096734/35953905 45537448/35953905
-1064277670/3449590989 49145636264/37945500879
-382646/1243749 1574216/1243749
-3266667116989/10628260202625 14363204367748/10628260202625
-167717875/546974763 714692638/546974763
-1007646062/3304826265 4196443624/3304826265
-204446797/670541625 302485393/223513875
-226109/742844 2123617/1671399
-2521985/8287383 10809368/8287383
-1513191/4974320 2369767/1865370
-52179/172016 81899/64506
-17393/57655 658039/518895
-163929025/546974763 710903788/546974763
-1726966166/5800474875 30717703973/23201899500
-12044576/40857375 378960824/286001625
-104460607/355699500 835568392/622474125
-1130545/3888051 5018596/3888051
-16356439/56386875 75491273/56386875
-37998801221/131193031125 175753373972/131193031125
-46839349/161907915 207634112/161907915
-447249247/1547773500 3623354732/2708603625
-114196664423/395911074000 231905061197/173211094875
-504397/1762995 2267392/1762995
-17393/60879 78272/60879
-24924769/88555125 121448708/88555125
-3899387671/13859154375 1708148852/1259923125
-11821604/42017625 18967976/14005875
-80534977/286380249 382049188/286380249
-7434248/26437125 246153077/185059875
-700917088/2492669625 3315579016/2492669625
-2079409/7395000 2459047/1848750
-670625/2387667 3058292/2387667
-13875/49436 46327/37077
-2950750/10515129 13063504/10515129
-415720166205/1482403265564 1350045539593/1111802449173
-107300/382653 154376/127551
-30160/108429 43683/36143
-407629/1469140 1334509/1101855
-33847552/122006625 379066916/284682125
-353032037/1284109125 1757002984/1284109125
-63800/248469 303569/248469
-975/3862 7093/5793
-188500/801831 990331/801831
-142984/612625 7432667/5513625
-11717851/54476500 158138672/122572125
-5023/24650 46379/36975
-530803477/2922504000 77199543/60885500
-7066/53625 69637/53625
-1525955198/12317579625 15145850036/12317579625
-3770/34197 37967/34197
-234/2153 2361/2153
-638/5889 6440/5889
-377/3530 15251/14120
-8294/87235 94398/87235
-6786/73115 79147/73115
-117/1370 737/685
-754/8975 9729/8975
-22/273 292/273
-234/2921 3129/2921
-234/2959 3167/2959
-26/333 359/333
-18850/241841 511957/483682
-585/7724 2061/1931
-130/1779 1909/1779
-18850/267277 286127/267277
5112598/3184471875 3650367164/3184471875
173
7  0 1 3 2 16 23 56
3  1 4 3
6  2 3 9 11 7 16
4  3 4 6 9
3  4 5 6
7  5 60 65 45 31 28 8
3  5 8 6
7  6 8 15 10 13 12 9
3  7 11 19
4  7 19 23 16
3  8 28 15
3  9 12 11
4  10 15 20 17
3  10 17 13
5  11 12 14 27 19
3  12 13 14
4  13 17 18 14
4  14 18 29 27
5  15 28 32 21 20
5  17 20 22 24 18
3  18 24 29
3  19 27 23
3  20 21 22
7  21 32 34 35 38 37 26
4  21 26 25 22
3  22 25 24
17  23 27 29 30 37 49 54 62 63 87 141 156 160 164 165 182 56
4  24 25 30 29
3  25 26 30
3  26 37 30
4  28 31 33 32
6  31 45 47 43 41 36
3  31 36 33
3  32 33 34
5  33 36 40 39 34
4  34 39 38 35
3  36 41 40
3  37 38 49
5  38 39 42 50 49
3  39 40 42
4  40 41 44 42
4  41 43 46 44
5  42 44 48 51 50
3  43 47 55
5  43 55 57 53 46
3  44 46 48
4  45 65 66 64
4  45 64 59 47
4  46 53 52 48
4  47 59 58 55
3  48 52 51
3  49 50 54
3  50 51 54
4  51 52 62 54
4  52 53 61 62
3  53 57 61
3  55 58 57
5  57 58 69 63 61
4  58 59 68 69
4  59 64 67 68
4  60 73 78 70
3  60 70 65
3  61 63 62
10  63 69 83 84 90 91 101 120 123 87
3  64 66 67
5  65 70 77 71 66
5  66 71 82 72 67
3  67 72 68
4  68 72 83 69
4  70 78 79 77
4  71 77 80 81
