276
35/44 13/44
3081/3872 1145/3872
43135/54208 16015/54208
1541/1936 573/1936
43149/54208 16029/54208
21575/27104 8007/27104
3083/3872 1147/3872
43163/54208 16043/54208
981/1232 4007/13552
43165/54208 16013/54208
771/968 287/968
43177/54208 16057/54208
21589/27104 8021/27104
43179/54208 1457/4928
10795/13552 4003/13552
3085/3872 1149/3872
43191/54208 1461/4928
5399/6776 2007/6776
43193/54208 16041/54208
21597/27104 8013/27104
43195/54208 16011/54208
22245/27346 1483/27346
22245/27346 12070/41019
22245/27346 3661/12430
22245/27346 60463/205095
22245/27346 121039/410190
22245/27346 20192/68365
22245/27346 24253/82038
22245/27346 4286/13673
166846/205095 620/13673
333823/410190 498/13673
166978/205095 375/13673
334091/410190 251/13673
167114/205095 126/13673
269/330 0/1
104/121 87/242
3329/3872 1393/3872
4237/4928 19487/54208
1665/1936 697/1936
46621/54208 19501/54208
23311/27104 9743/27104
3331/3872 1395/3872
46635/54208 19515/54208
11659/13552 4875/13552
46637/54208 19485/54208
833/968 349/968
46649/54208 19529/54208
23325/27104 887/2464
4241/4928 19499/54208
11663/13552 4871/13552
353819/410190 4286/13673
176966/205095 4286/13673
23603/27346 4286/13673
177079/205095 4286/13673
354271/410190 4286/13673
46835/54208 15843/54208
11709/13552 3957/13552
6691/7744 2259/7744
2129/2464 7899/27104
46839/54208 15783/54208
5855/6776 1971/6776
23425/27104 7921/27104
6693/7744 2261/7744
11713/13552 3953/13552
46853/54208 15797/54208
23427/27104 7891/27104
46855/54208 15767/54208
6695/7744 2263/7744
23433/27104 7913/27104
46867/54208 15811/54208
11717/13552 359/1232
46869/54208 15781/54208
23435/27104 7883/27104
1465/1694 45/154
46881/54208 15825/54208
2131/2464 7905/27104
46883/54208 15795/54208
11721/13552 3945/13552
46885/54208 15765/54208
46895/54208 15839/54208
2931/3388 989/3388
46897/54208 15809/54208
23449/27104 7897/27104
46899/54208 15779/54208
1675/1936 563/1936
180454/205095 1483/27346
361151/410190 620/13673
180754/205095 498/13673
32897/37290 375/13673
181114/205095 251/13673
362591/410190 126/13673
1/1 0/1
1/1 31/110
1/1 512/1815
1/1 205/726
1/1 171/605
1/1 1027/3630
1/1 514/1815
1/1 4286/13673
1/1 1271/3630
1/1 212/605
1/1 1273/3630
1/1 637/1815
1/1 85/242
1/1 1/2
51/50 1/50
51/50 1157/4125
51/50 8493/30250
51/50 12752/45375
51/50 25529/90750
51/50 4259/15125
51/50 25579/90750
51/50 4286/13673
51/50 15827/45375
51/50 31679/90750
51/50 5284/15125
51/50 31729/90750
51/50 15877/45375
51/50 1/2
20003/16940 28729/84700
320053/271040 459289/1355200
160029/135520 229457/677600
320063/271040 458539/1355200
11431/9680 16363/48400
5002/4235 7176/21175
29103/24640 458889/1355200
22867/19360 32751/96800
320143/271040 41649/123200
2859/2420 4097/12100
320213/271040 458489/1355200
160109/135520 229057/677600
10009/8470 14327/42350
320293/271040 458089/1355200
20023/16940 28629/84700
367471/310750 4286/13673
6064684/5127375 4286/13673
12132193/10254750 4286/13673
2022503/1709125 4286/13673
12137843/10254750 4286/13673
321283/271040 367039/1355200
3651/3080 45833/169400
45899/38720 4757/17600
160649/135520 182957/677600
321303/271040 365539/1355200
80327/67760 91291/338800
160679/135520 183507/677600
45909/38720 52377/193600
40171/33880 45783/169400
321373/271040 365889/1355200
160689/135520 182757/677600
321383/271040 365139/1355200
45919/38720 52427/193600
160719/135520 183307/677600
321443/271040 366239/1355200
40181/33880 45733/169400
29223/24640 365489/1355200
160729/135520 182557/677600
7307/6160 91741/338800
321513/271040 366589/1355200
160759/135520 183107/677600
321523/271040 365839/1355200
40191/33880 4153/15400
321533/271040 365089/1355200
321583/271040 366939/1355200
80397/67760 8331/30800
321593/271040 366189/1355200
160799/135520 182907/677600
321603/271040 365439/1355200
5743/4840 6519/24200
10909/9075 1/50
21823/18150 1/50
3638/3025 1/50
1233347/1025475 7373/683650
21833/18150 1/50
411209/341825 3699/341825
2467259/2050950 7373/683650
10919/9075 1/50
1233907/1025475 7423/683650
411304/341825 7373/683650
1234187/1025475 3724/341825
224399/186450 7373/683650
2468509/2050950 1123/683650
411489/341825 7473/683650
1234477/1025475 7373/683650
823023/683650 574/341825
1234537/1025475 1123/683650
2469629/2050950 1173/683650
823213/683650 1123/683650
2470189/2050950 599/341825
112282/93225 1123/683650
37429/31075 -5077/683650
1235437/1025475 -2526/341825
2470879/2050950 -5077/683650
1235717/1025475 -457/62150
1235722/1025475 -5077/683650
2472109/2050950 -11227/683650
824223/683650 -5601/341825
1236337/1025475 -11227/683650
1236947/1025475 -17327/683650
412424/341825 -20577/683650
412424/341825 -17327/683650
412424/341825 -968687/38284400
412424/341825 -11227/683650
412424/341825 -1245249/76568800
412424/341825 -5077/683650
412424/341825 -273737/38284400
412424/341825 1123/683650
412424/341825 155951/76568800
412424/341825 7373/683650
412424/341825 432513/38284400
412424/341825 1/50
412424/341825 916259/3418250
412424/341825 1375801/5127375
412424/341825 2754427/10254750
412424/341825 459542/1709125
412424/341825 2760077/10254750
412424/341825 1381451/5127375
412424/341825 4286/13673
825223/683650 -23377/683650
1517/1210 1611/6050
339813/271040 360489/1355200
169909/135520 180057/677600
30893/24640 359739/1355200
84957/67760 89841/338800
339833/271040 358989/1355200
21243/16940 22529/84700
339893/271040 360089/1355200
169949/135520 179857/677600
339903/271040 359339/1355200
84977/67760 89741/338800
5312/4235 5626/21175
339973/271040 32699/123200
169989/135520 179657/677600
48569/38720 51277/193600
21253/16940 22479/84700
48579/38720 51327/193600
170029/135520 179457/677600
10629/8470 11227/42350
340133/271040 358889/1355200
1933/1540 2039/7700
23053/18150 1/50
434169/341825 6774/341825
3843/3025 1/50
1302787/1025475 13573/683650
23063/18150 1/50
1303067/1025475 6799/341825
2606249/2050950 7373/683650
2606269/2050950 7273/683650
